"ElevationCount","Product","Description","Publisher","FileName","FileInternalName","FileVersion","FilePath","FileHash","Users","Devices","ElevationType","ChildProcessBehaviour","Group"
"9","Microsoft® Windows® Operating System","Print driver host for applications","Microsoft Corporation","splwow64.exe","splwow64.exe","10.0.26100.1591","C:\\WINDOWS","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"8","<Null>","<Null>","<Null>","rg.exe","<Null>","0.0.0.0","c:\\Users\\NickBenton\\AppData\\Local\\Programs\\Microsoft VS Code\\resources\\app\\node_modules\\@vscode\\ripgrep\\bin","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"6","Microsoft® Windows® Operating System","Windows PowerShell","Microsoft Corporation","powershell.exe","POWERSHELL","10.0.22621.3085","C:\\Windows\\System32\\WindowsPowerShell\\v1.0","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"6","Visual Studio Code","Visual Studio Code","Microsoft Corporation","Code.exe","electron.exe","1.94.0.0","C:\\Users\\NickBenton\\AppData\\Local\\Programs\\Microsoft VS Code","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"6","Microsoft® Windows® Operating System","Dism Host Servicing Process","Microsoft Corporation","dismhost.exe","dismhost","10.0.22621.1","C:\\Windows\\System32\\Dism","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"6","Windows Terminal","OpenConsole.exe","Microsoft Corporation","OpenConsole.exe","Host.EXE","1.20.2406.26001","C:\\Program Files\\WindowsApps\\Microsoft.WindowsTerminal_1.20.11781.0_x64__8wekyb3d8bbwe","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"5","Microsoft® Windows® Operating System","Microsoft Management Console","Microsoft Corporation","mmc.exe","mmc.exe","10.0.26100.1742","C:\\WINDOWS\\system32","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"4","Windows Terminal","WindowsTerminal.exe","Microsoft Corporation","WindowsTerminal.exe","WindowsTerminal","1.20.2406.26001","C:\\Program Files\\WindowsApps\\Microsoft.WindowsTerminal_1.20.11781.0_x64__8wekyb3d8bbwe","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"3","Microsoft® Windows® Operating System","Dism Host Servicing Process","Microsoft Corporation","dismhost.exe","dismhost","10.0.26100.1","C:\\$WINDOWS.~BT\\Work\\BFF32EA4-86F6-46E9-9376-E23FB61F3B49","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"2","Microsoft® Windows® Operating System","Wimfltr v2 extractor","Microsoft Corporation","wimserv.exe","extractr.exe","10.0.22621.2506","C:\\Windows\\system32","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
