"ElevationCount","Product","Description","Publisher","FileName","FileInternalName","FileVersion","FilePath","FileHash","Users","Devices","ElevationType","ChildProcessBehaviour","Group"
"2","Microsoft® Windows® Operating System","Microsoft Management Console","Microsoft Corporation","mmc.exe","mmc.exe","10.0.19041.5007","C:\\Windows\\system32","8FC82C08A65589B8207D4C10F0D019C7CD6870E4EC00335CD1F4BBA43069F011","AzureAD\NickBenton","ODDS-02601911","Automatic","AllowAll","SG-MDM-Users-EPM-PeopleManagement"
"2","Microsoft® Windows® Operating System","Windows PowerShell","Microsoft Corporation","powershell.exe","POWERSHELL","10.0.19041.3996","C:\\Windows\\System32\\WindowsPowerShell\\v1.0","9785001B0DCF755EDDB8AF294A373C0B87B2498660F724E76C4D53F9C217C7A3","AzureAD\NickBenton","ODDS-37453243","UserAuthentication","DenyAll","SG-MDM-Users-EPM-Finance"
